"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 23 22:57:18 UTC 2022","Fri Sep 23 22:57:19 UTC 2022","694","","Main page ","","Main page ","Verify the pop-up functionality of the 'Products'","Verify the pop-up functionality of the 'Products'",""
"passed","Fri Sep 23 22:57:50 UTC 2022","Fri Sep 23 22:57:51 UTC 2022","759","","Messaging module","","Messaging module","Verify ability to delete created 'Verify Profile'","Verify ability to delete created 'Verify Profile'",""
"passed","Fri Sep 23 22:57:40 UTC 2022","Fri Sep 23 22:57:49 UTC 2022","8879","","Messaging module","","Messaging module","Create a 'Messaging profile' ability","Create a 'Messaging profile' ability",""
"passed","Fri Sep 23 23:01:54 UTC 2022","Fri Sep 23 23:01:55 UTC 2022","1791","","Main page ","","Main page ","Check redirection to the 'Products' page and its activity","Check redirection to the 'Products' page and its activity",""
"passed","Fri Sep 23 23:00:14 UTC 2022","Fri Sep 23 23:00:16 UTC 2022","2276","","cart module funcionality","","cart module funcionality","Open URL/accept cookies","Open URL/accept cookies",""
"passed","Fri Sep 23 22:57:28 UTC 2022","Fri Sep 23 22:57:29 UTC 2022","1667","","Main page ","","Main page ","Check redirection to the 'Join to the waitlist' page and its activity","Check redirection to the 'Join to the waitlist' page and its activity",""
"passed","Fri Sep 23 22:57:17 UTC 2022","Fri Sep 23 22:57:18 UTC 2022","677","","Main page ","","Main page ","Verify the ability of the head navigation  menu to appear and disappear","Verify the ability of the head navigation  menu to appear and disappear",""
"passed","Fri Sep 23 23:02:11 UTC 2022","Fri Sep 23 23:02:18 UTC 2022","6223","","Messaging module","","Messaging module","Log in","Log in",""
"passed","Fri Sep 23 22:57:32 UTC 2022","Fri Sep 23 22:57:35 UTC 2022","2158","","Messaging module","","Messaging module","Open URL/accept cookies","Open URL/accept cookies",""
"broken","Fri Sep 23 22:59:00 UTC 2022","Fri Sep 23 23:00:00 UTC 2022","60002","","Verify module","","Verify module","Verify ability to delete created 'Verify Profile'","Verify ability to delete created 'Verify Profile'",""
"passed","Fri Sep 23 22:57:49 UTC 2022","Fri Sep 23 22:57:50 UTC 2022","1296","","Messaging module","","Messaging module","Verify ability to edit created 'Verify Profile'","Verify ability to edit created 'Verify Profile'",""
"broken","Fri Sep 23 22:58:00 UTC 2022","Fri Sep 23 22:59:00 UTC 2022","60004","","Verify module","","Verify module","Create a 'Verify profile' ability","Create a 'Verify profile' ability",""
"broken","Fri Sep 23 23:04:18 UTC 2022","Fri Sep 23 23:05:18 UTC 2022","60002","","Messaging module","","Messaging module","Verify ability to delete created 'Verify Profile'","Verify ability to delete created 'Verify Profile'",""
"passed","Fri Sep 23 23:02:01 UTC 2022","Fri Sep 23 23:02:03 UTC 2022","1701","","Main page ","","Main page ","Check redirection to the 'Pricing' page and its activity","Check redirection to the 'Pricing' page and its activity",""
"passed","Fri Sep 23 22:57:21 UTC 2022","Fri Sep 23 22:57:23 UTC 2022","1525","","Main page ","","Main page ","Check redirection to the 'Products' page and its activity","Check redirection to the 'Products' page and its activity",""
"passed","Fri Sep 23 23:01:50 UTC 2022","Fri Sep 23 23:01:51 UTC 2022","1164","","Main page ","","Main page ","Verify the ability of the head navigation  menu to appear and disappear","Verify the ability of the head navigation  menu to appear and disappear",""
"passed","Fri Sep 23 22:57:25 UTC 2022","Fri Sep 23 22:57:26 UTC 2022","1061","","Main page ","","Main page ","Verify the redirection to 'Network' page","Verify the redirection to 'Network' page",""
"passed","Fri Sep 23 23:01:57 UTC 2022","Fri Sep 23 23:01:59 UTC 2022","1966","","Main page ","","Main page ","Check redirection to the 'Use-cases' page and its activity","Check redirection to the 'Use-cases' page and its activity",""
"passed","Fri Sep 23 22:57:26 UTC 2022","Fri Sep 23 22:57:28 UTC 2022","1163","","Main page ","","Main page ","Check redirection to the 'Pricing' page and its activity","Check redirection to the 'Pricing' page and its activity",""
"passed","Fri Sep 23 23:05:44 UTC 2022","Fri Sep 23 23:05:54 UTC 2022","10134","","Verify module","","Verify module","Verify ability to delete created 'Verify Profile'","Verify ability to delete created 'Verify Profile'",""
"passed","Fri Sep 23 23:05:34 UTC 2022","Fri Sep 23 23:05:44 UTC 2022","10495","","Verify module","","Verify module","Create a 'Verify profile' ability","Create a 'Verify profile' ability",""
"passed","Fri Sep 23 23:01:52 UTC 2022","Fri Sep 23 23:01:52 UTC 2022","548","","Main page ","","Main page ","Verify the pop-up functionality of the Solutions","Verify the pop-up functionality of the Solutions",""
"passed","Fri Sep 23 23:01:59 UTC 2022","Fri Sep 23 23:02:01 UTC 2022","1871","","Main page ","","Main page ","Verify the redirection to 'Network' page","Verify the redirection to 'Network' page",""
